Description,Item Category,Date of Retrieval,Department Name,College Name
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Table 3' square,furniture-tables,2025/3/12,Fire Service Institute,Public Safety
2 Drawer wood lateral file,furniture-storage,2025/3/12,Fire Service Institute,Public Safety
2 Drawer wood lateral file,furniture-storage,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Grounds,Facilities
MacBook Pro A1707,computing,2025/3/12,Economics,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2025/3/12,Economics,Liberal Arts & Sciences
Dell Latitude 5590,computing,2025/3/12,Chemistry,Liberal Arts & Sciences
Rolling Chair,furniture-seating,2025/3/12,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Chair,furniture-seating,2025/3/12,Art & Design,Fine & Applied Arts
Chair,furniture-seating,2025/3/12,Art & Design,Fine & Applied Arts
Chair,furniture-seating,2025/3/12,Art & Design,Fine & Applied Arts
Chair,furniture-seating,2025/3/12,Art & Design,Fine & Applied Arts
oval coffee table,furniture-tables,2025/3/12,Art & Design,Fine & Applied Arts
Microsoft Surface 1769,computing,2025/3/12,Illinois Human Resources,Chancellor
Microsoft Surface 1769,computing,2025/3/12,Illinois Human Resources,Chancellor
Laptop Lenovo L13 Yoga,computing,2025/3/12,Chemical & Biomolecular Engr,Liberal Arts & Sciences
Microsoft Surface Pro,computing,2025/3/12,Chemical & Biomolecular Engr,Liberal Arts & Sciences
MacBook Pro A1708,computing,2025/3/12,Chemical & Biomolecular Engr,Liberal Arts & Sciences
2 Drawer wood lateral file,furniture-storage,2025/3/12,Spurlock Museum,Liberal Arts & Sciences
Dell SX2210b Monitor,electronics-av,2025/3/12,Mechanical Sci & Engineering,Grainger Engineering
Monitor,electronics-av,2025/3/12,Mechanical Sci & Engineering,Grainger Engineering
Dell Monitor,electronics-av,2025/3/12,Mechanical Sci & Engineering,Grainger Engineering
Dell Monitor,electronics-av,2025/3/12,Electrical & Computer Eng,Grainger Engineering
Dell SX2210b Monitor,electronics-av,2025/3/12,Disability Res & Educ Svcs,Applied Health Sciences
Desktop Dell Precision 3431,computing,2025/3/12,Disability Res & Educ Svcs,Applied Health Sciences
Dell P2312Ht Monitor,electronics-av,2025/3/12,EnterpriseWorks,VC for Research and Innovation
Dell P2412Hb Monitor,electronics-av,2025/3/12,EnterpriseWorks,VC for Research and Innovation
Dell P2412Hb Monitor,electronics-av,2025/3/12,EnterpriseWorks,VC for Research and Innovation
Dell Monitor,electronics-av,2025/3/12,EnterpriseWorks,VC for Research and Innovation
Dell Monitor,electronics-av,2025/3/12,EnterpriseWorks,VC for Research and Innovation
Table 4'x2',furniture-tables,2025/3/12,Information Sciences,School of Information Sciences
Coffee Table 4',furniture-tables,2025/3/12,Information Sciences,School of Information Sciences
Filiberto Sofa - Green,furniture-seating,2025/3/12,Information Sciences,School of Information Sciences
Stacking Chair,furniture-seating,2025/3/13,"Agr, Consumer & Env Sci Admn","Agr, Consumer & Env Sciences"
Stacking Chair,furniture-seating,2025/3/13,"Agr, Consumer & Env Sci Admn","Agr, Consumer & Env Sciences"
Samsung Tablet SM-P610NZAAXAR,computing,2025/3/13,Aerospace Engineering,Grainger Engineering
Desktop Dell Precision 3431,computing,2025/3/13,Aerospace Engineering,Grainger Engineering
